iter	Logloss
0	0.6905540999
1	0.6880198171
2	0.6855421523
3	0.6831467552
4	0.6808309479
5	0.6785411369
6	0.6762963968
7	0.6740852934
8	0.6719633333
9	0.6698694871
10	0.6678119016
11	0.6658167527
12	0.6638576336
13	0.6619389378
14	0.66007086
15	0.6582356036
16	0.6564448747
17	0.6546343958
18	0.652909093
19	0.6512172761
20	0.649553755
21	0.6479295403
22	0.6463526419
23	0.644810759
24	0.643277921
25	0.6417828711
26	0.6403364685
27	0.6389205615
28	0.6375345074
29	0.6361738465
30	0.6348379286
31	0.6335345048
32	0.632241857
33	0.6309959047
34	0.6297753786
35	0.6285803196
36	0.6274115126
37	0.6262663934
38	0.6251463344
39	0.624044141
40	0.6229481062
41	0.6218729312
42	0.6208433997
43	0.6198365867
44	0.6188500162
45	0.6178797529
46	0.6169070971
47	0.6159775144
48	0.6150723824
49	0.6141486194
50	0.6132716933
51	0.6124226429
52	0.6115914512
53	0.6107768249
54	0.609972259
55	0.6091849568
56	0.6083167888
57	0.6075696543
58	0.6067873368
59	0.606032823
60	0.6053291205
61	0.604643005
62	0.6039708708
63	0.6033132555
64	0.6026102631
65	0.6019631408
66	0.6013275016
67	0.6007041004
68	0.6001114144
69	0.599532409
70	0.5989406717
71	0.5983858622
72	0.5978379417
73	0.5972963587
74	0.5967756968
75	0.596259389
76	0.5957556303
77	0.5952391036
78	0.5947531992
79	0.5942690021
80	0.5937938677
81	0.5933449107
82	0.5929036989
83	0.5924733059
84	0.5920304205
85	0.591600053
86	0.5911950832
87	0.5907995797
88	0.590412327
89	0.590027975
90	0.5895772883
91	0.5892103773
92	0.5888540461
93	0.5884901791
94	0.5881372978
95	0.5878019868
96	0.5874747609
97	0.5871274148
98	0.586813853
99	0.5865068141
100	0.58620616
101	0.5858793528
102	0.5855911213
103	0.5853011259
104	0.5850247591
105	0.5847401783
106	0.5844744359
107	0.5842131454
108	0.5839576726
109	0.5837080978
110	0.5834472381
111	0.5832065423
112	0.5829325921
113	0.5826863869
114	0.582462367
115	0.5821740075
116	0.5819510703
117	0.5817116778
118	0.5815028339
119	0.5812834946
120	0.5810859771
121	0.5808899032
122	0.5806907063
123	0.5805048654
124	0.5803232695
125	0.5801454328
126	0.5799712674
127	0.5798007002
128	0.5796319232
129	0.5794676352
130	0.5793074218
131	0.5791505153
132	0.5789819066
133	0.5787906351
134	0.5786432929
135	0.5784985068
136	0.5783548012
137	0.5782158406
138	0.5780691364
139	0.5779151812
140	0.5777851615
141	0.5776578197
142	0.5775141863
143	0.5773904689
144	0.5772708437
145	0.5771536802
146	0.5770385509
147	0.5769259946
148	0.5768159114
149	0.5767079878
150	0.576585399
151	0.5764749752
152	0.5763736825
153	0.5762735729
154	0.5761759382
155	0.5760658775
156	0.5759690487
157	0.5758777451
158	0.5757883155
159	0.5756990577
160	0.575609557
161	0.5755255212
162	0.5754432086
163	0.5753610611
164	0.5752818451
165	0.5752003552
166	0.57512459
167	0.5750488609
168	0.5749761674
169	0.5748844085
170	0.5747506061
171	0.5746716514
172	0.5745581934
173	0.5744879268
174	0.5744211594
175	0.5743407998
176	0.5742792969
177	0.5742016608
178	0.5741426578
179	0.5740843671
180	0.5740277522
181	0.5739721704
182	0.5738435885
183	0.5737693525
184	0.5737172865
185	0.5736662839
186	0.5736163229
187	0.573567382
188	0.5735191641
189	0.5734712084
190	0.5733910298
191	0.5731915847
192	0.5731475291
193	0.5730938367
194	0.5730445436
195	0.5729893717
196	0.5729487428
197	0.5727976842
198	0.5727353809
199	0.5726947511
200	0.5725588833
201	0.5724417704
202	0.572349442
203	0.5723145286
204	0.572280138
205	0.5722439415
206	0.5721883291
207	0.572132602
208	0.5720966983
209	0.5720574163
210	0.5720130126
211	0.5719404255
212	0.5718865079
213	0.571857607
214	0.5717864247
215	0.5717591843
216	0.5717195773
217	0.5716934675
218	0.571580188
219	0.5715551706
220	0.5714832706
221	0.5714492225
222	0.5714257127
223	0.5714026037
224	0.5713800396
225	0.5713055887
226	0.5712392168
227	0.571218038
228	0.5711970058
229	0.571130356
230	0.571025201
231	0.5710038815
232	0.5709848235
233	0.5709473388
234	0.5709137071
235	0.5708353245
236	0.5708178012
237	0.5708006335
238	0.5707744033
239	0.5707557895
240	0.5706983807
241	0.5706612933
242	0.5706240587
243	0.570608491
244	0.5705936438
245	0.5705443361
246	0.570529776
247	0.5705157202
248	0.5704923396
249	0.5704038617
250	0.5703361845
251	0.5702474796
252	0.5701822639
253	0.570113382
254	0.5701013774
255	0.5700392771
256	0.5700277713
257	0.570011006
258	0.5699985831
259	0.5699873291
260	0.5699767286
261	0.5699662647
262	0.569956089
263	0.5699461193
264	0.5699362388
265	0.5699096708
266	0.5699002965
267	0.5698661648
268	0.5698050347
269	0.5697752956
270	0.5697665579
271	0.5696999533
272	0.5695652724
273	0.5694969047
274	0.5693750198
275	0.5692254873
276	0.56906257
277	0.5690344263
278	0.5689821752
279	0.568900789
280	0.5688651252
281	0.5687771105
282	0.5687575524
283	0.5686808257
284	0.5686355079
285	0.5685948079
286	0.5685864773
287	0.5685038848
288	0.5684646927
289	0.56845908
290	0.56841403
291	0.5683570147
292	0.5683517533
293	0.5682529043
294	0.5682133703
295	0.5682071934
296	0.5682023707
297	0.5681817851
298	0.5681427666
299	0.5681091725
300	0.5680522512
301	0.5680479151
302	0.5680436644
303	0.5679601356
304	0.5679500816
305	0.5679456464
306	0.5679417471
307	0.5679308775
308	0.5679126231
309	0.5678844729
310	0.5678764336
311	0.5678448017
312	0.567828454
313	0.567753706
314	0.5677024438
315	0.5676277083
316	0.5675790456
317	0.5675759746
318	0.567525518
319	0.5675223075
320	0.5674993584
321	0.5674592883
322	0.5674331905
323	0.56736201
324	0.5673029413
325	0.5672719533
326	0.5672683265
327	0.5672192489
328	0.5672168327
329	0.5672144653
330	0.5671610659
331	0.5671427047
332	0.567128086
333	0.5671212637
334	0.5670999021
335	0.5670282062
336	0.5669803216
337	0.5669415841
338	0.5669396409
339	0.5669377368
340	0.5668547237
341	0.5667811148
342	0.5667246805
343	0.5666284374
344	0.5666132427
345	0.5665105268
346	0.5665089221
347	0.5665073497
348	0.5664220018
349	0.5663775456
350	0.5663756515
351	0.5663144968
352	0.566313095
353	0.5662641495
354	0.5662228743
355	0.5661797217
356	0.5661462637
357	0.5661026038
358	0.566097222
359	0.5660254613
360	0.5660242463
361	0.5659912824
362	0.5659868495
363	0.5659790633
364	0.565890595
365	0.5658844013
366	0.5658074873
367	0.5657699743
368	0.565738153
369	0.5657338999
370	0.5657068313
371	0.5656499328
372	0.5656483934
373	0.5656475242
374	0.5655784847
375	0.565577489
376	0.5654780248
377	0.5654772388
378	0.5654594804
379	0.5654376726
380	0.5654083875
381	0.5654076677
382	0.5654010931
383	0.5653913906
384	0.5653678129
385	0.5652953953
386	0.5652718302
387	0.5652153379
388	0.5652137651
389	0.565098887
390	0.5650592486
391	0.5650558683
392	0.5650097896
393	0.5649786727
394	0.564967436
395	0.5648495213
396	0.5647853663
397	0.5647711512
398	0.5646637176
399	0.5645609372
400	0.5645274969
401	0.5645267618
402	0.5645263444
403	0.5644169215
404	0.5643825144
405	0.5643393197
406	0.5643334249
407	0.5643271652
408	0.5641863652
409	0.5641452268
410	0.5640673337
411	0.5639781414
412	0.563915757
413	0.5638936481
414	0.5638770413
415	0.5638299288
416	0.5637686693
417	0.5637327475
418	0.5636768992
419	0.5636464714
420	0.5636389218
421	0.5636335531
422	0.5636170378
423	0.5635542701
424	0.5635430577
425	0.5635428324
426	0.5634387515
427	0.563422301
428	0.5633842961
429	0.563302717
430	0.5632602995
431	0.5631967437
432	0.5631501631
433	0.5630898883
434	0.5630077784
435	0.5629815196
436	0.5629790867
437	0.5629616025
438	0.5629614454
439	0.5629559389
440	0.562860643
441	0.5628602338
442	0.5628556761
443	0.562851892
444	0.5628517257
445	0.5628007839
446	0.5627531401
447	0.5627529702
448	0.5627148109
449	0.5626447163
450	0.5626337848
451	0.5626262424
452	0.5625867603
453	0.5625436413
454	0.5625008652
455	0.562448893
456	0.5624233367
457	0.5623792902
458	0.5622279608
459	0.5622277089
460	0.562200452
461	0.5621872777
462	0.5621859103
463	0.5621440797
464	0.5621173465
465	0.5620922245
466	0.5620694558
467	0.5620687631
468	0.5619062866
469	0.561906222
470	0.561818176
471	0.5618179936
472	0.5618178525
473	0.5617446852
474	0.5617338656
475	0.5617288543
476	0.5616843577
477	0.5616206384
478	0.5616204683
479	0.5615636289
480	0.5615360447
481	0.561443371
482	0.5614117821
483	0.5613802528
484	0.5613324774
485	0.5612819091
486	0.5612818496
487	0.5612233586
488	0.5611665676
489	0.5611556502
490	0.5611446208
491	0.5611063303
492	0.5609909915
493	0.5609834588
494	0.5609293534
495	0.5609287275
496	0.5609287048
497	0.5608194383
498	0.5608175212
499	0.5608003675
500	0.5607886426
501	0.5607408718
502	0.5605593777
503	0.5605283318
504	0.5605062513
505	0.5604304949
506	0.5604304822
507	0.5603897055
508	0.560357331
509	0.5602954246
510	0.5602360863
511	0.5601830196
512	0.5600602486
513	0.5600443234
514	0.5600385347
515	0.5600354396
516	0.5600324317
517	0.5600324248
518	0.5599903864
519	0.5599844528
520	0.55998294
521	0.5599126338
522	0.5598133976
523	0.5597602306
524	0.5597042591
525	0.5596920687
526	0.559630819
527	0.5595544255
528	0.5595202847
529	0.5594532304
530	0.559453228
531	0.559368379
532	0.5593681382
533	0.5593273363
534	0.5591833713
535	0.5591118153
536	0.5591105808
537	0.5591018082
538	0.5589956508
539	0.5589491965
540	0.5589292383
541	0.5589255384
542	0.5588938695
543	0.5587904113
544	0.5587679959
545	0.5587660533
546	0.5587023597
547	0.5586664388
548	0.5586638535
549	0.5585944215
550	0.5585899671
551	0.5585696373
552	0.5585197122
553	0.5585194418
554	0.5585194418
555	0.5584808784
556	0.5584808784
557	0.5584798074
558	0.5583080371
559	0.5581603394
560	0.5581539116
561	0.5581095837
562	0.5580873514
563	0.5580581499
564	0.5580034818
565	0.5580016054
566	0.5579724197
567	0.557928856
568	0.5579224467
569	0.5578929201
570	0.5578920084
571	0.5578420162
572	0.5578410025
573	0.5578075939
574	0.5577510129
575	0.5577113608
576	0.5576332928
577	0.5576073774
578	0.5575343056
579	0.5575091753
580	0.5575021348
581	0.5574813078
582	0.5574573178
583	0.5574251489
584	0.5574251489
585	0.5574250141
586	0.5574167696
587	0.5574001293
588	0.5572989311
589	0.5572753851
590	0.5571328424
591	0.5570530874
592	0.5570398514
593	0.5570200819
594	0.557004905
595	0.5569753038
596	0.5569599592
597	0.5569388544
598	0.5569105686
599	0.5568992964
600	0.556849211
